Language name,Glottocode,ISO code,Latitude,Longitude,Numeral system,Numeral subsystem,Notes,Formation of 5,Formation of 10,Formation of 15,Formation of 20,Formation of 40,Evidence of binary counting?,Evidence of ternary counting?,Evidence of quaternary counting?,Evidence of quinary counting?,Evidence of senary counting?,Evidence of decimal counting?,Evidence of vigesimal counting?,Evidence of a body-part tallying system?,Documentation of a hand word used somewhere? (Papuan languages only),Family,"Ancient, creolized, simplified, standardized, or diasporic variety of another language?",Family-majority system,Family type,On the New Guinea mainland?,Nation,Subregion,Datasets,Number of sources,Dialects included
Mansim,mans1260,_,-0.915054,134.011116,quinary,quinary,6 to 9 = x + n,5 (?),10 (?),unknown,x 2 (?) or 20 (?),20 ⋅ 2,no,no,no,yes,no,maybe,yes,_,_,Hatam-Mansim,_,quinary,Papuan,yes,Indonesia,West Papua Province,"barlowpacific, lexirumah",2,_
Manus Koro,bowa1234,kxr,-2.03429,147.14267,decimal,decimal modified,"subtraction for 7, 8, 9; 11 = 10 + 1, 12 = 10 + 2",5,1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Papua New Guinea,Manus,"abvd, barlowpacific (3x), numerals",5,papi1254
Manusela,manu1258,wha,-3.1109,129.429,decimal,decimal proper,11 = 10 + 1; 12 = 10 + 2,5,10 ⋅ 1 (innovative?),unknown,10 ⋅ 2 (innovative?),10 ⋅ 4,no,no,no,no,no,yes,no,_,_,Central Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,Maluku,"barlowpacific (2x), numerals",3,_
Maori,maor1246,mri,-38.2881,176.541,decimal,decimal proper,11 to 19 = 10 + n,5,"1 ⋅ 10 (innovative?) or 10 (innovative, < *20)",10 + 5,2 ⋅ 10 (innovative?),4 ⋅ 10 (innovative?),no,no,no,no,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,New Zealand,New Zealand,"abvd (4x), googleuninum, ids, numerals",7,"mori1267, sout2867"
Mape,mape1249,mlh,-6.59318,147.682,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2, 5 = hand one; quinary starting at 5",hand 1,hand 2,hand 2 + 1 or hand 2 leg 1 whole,hand 2 + 2 or man whole,unknown,yes,no,no,yes,no,no,maybe,_,yes,Finisterre-Huon,_,binary,Papuan,yes,Papua New Guinea,Morobe,"barlowpacific (3x), numerals",4,_
Mapena,mape1250,mnm,-9.77803,149.495,unknown,unknown,no data,unknown,unknown,unknown,unknown,unknown,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,_,_,Dagan,_,binary,Papuan,yes,Papua New Guinea,Milne Bay,_,0,_
Mapia,mapi1250,mpy,0.908889,134.304722,decimal,decimal proper,11 to 19 = n + x,5,10 (innovative?),unknown,2 ⋅ 10 (innovative?),40 (?),no,no,no,no,no,yes,maybe,_,_,Oceanic,_,quinary,Austronesian,no,Indonesia,Papua Province,barlowpacific (2x),2,_
Mapos Buang,mapo1242,bzh,-6.86672,146.774,binary,binary+3,4 = 2 + 2; 5 contains hand; quinary starting at 5,hand half,hand 2 or hand complete,hand 2 foot half or hand 2 hand half,complete person 1 or hand complete foot complete,unknown,yes,no,no,yes,no,no,maybe,_,_,Oceanic,_,quinary,Austronesian,yes,Papua New Guinea,Morobe,"barlowpacific (3x), numerals",4,_
Mapun,mapu1244,sjm,6.09061,118.75,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Bangsamoro,"abvd, numerals",2,_
Maragus,mara1399,mrs,-16.0695,167.33,quinary,quinary,"6 = 5 + 1, 7 to 9 = x + n",5,1 ⋅ 10 (innovative?),1 ⋅ 10 x 5,10 ⋅ 2 (innovative?),10 ⋅ 4 (innovative?),no,no,no,yes,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Vanuatu,Malakula,"abvd (4x), numerals",5,_
Maranao,mara1404,mrw,7.79414,124.175,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10 or 10,1 ⋅ 10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Bangsamoro,"abvd, numerals",2,_
Marau,mara1397,mvr,-1.66738,135.797,decimal,decimal proper,11 = 10 + 1,5,10 (innovative?),unknown,person 1,person 2,no,no,no,no,no,yes,yes,_,_,South Halmahera-West New Guinea,_,decimal,Austronesian,no,Indonesia,Papua Province,"barlowpacific, numerals",2,_
Maremgi,mare1261,mrx,-2.31915,139.673,binary,binary proper,"3 = 2 + x, 4 = 2 + 2; 5 contains hand",other hand (?),2 hand (?),unknown,x foot y 2 (?),unknown,yes,no,no,yes,no,insufficient data,insufficient data,_,yes,Tor-Orya,_,binary,Papuan,yes,Indonesia,Papua Province,"barlowpacific, numerals",2,_
Mari (East Sepik Province),mari1432,mbx,-4.46436,142.963,unknown,unknown,no data,unknown,unknown,unknown,unknown,unknown,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,_,_,Sepik,_,binary,Papuan,yes,Papua New Guinea,East Sepik,_,0,_
Mari (Madang Province),mari1429,hob,-5.97399,145.828,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2, 5 = 2 + 2 + 1 or simplex 5",5 (< hand?),hand 2 (?) or 10 (< man?),unknown,unknown,unknown,yes,no,no,maybe,no,maybe,insufficient data,_,_,Oceanic,_,quinary,Austronesian,yes,Papua New Guinea,Madang,barlowpacific (2x),2,_
Maria (Papua New Guinea),mari1438,mds,-9.92982,148.303,binary,binary+3,4 = [2] ⋅ 2; or 4 is subtractive from hand?; 5 contains arm; quinary starting at 5,arm x (?) or 5 (?),arm x arm x (?) or arm 5 (?),unknown,unknown,unknown,yes,no,no,yes,no,insufficient data,insufficient data,_,yes,Manubaran,_,_,Papuan,yes,Papua New Guinea,Central (PNG),barlowpacific (2x),2,_
Marik,mari1428,dad,-5.349,145.59,quinary,quinary,5 contains hand; 6 to 9 = 5 + n; 4 looks somehow derived; alternative quaternary 5 ? (5 = 4 + 1 ?),hand 1 completed (?) or 4 + 1,hand 2 completed (?) or hand 2,borrowed from English,hand 2 foot 2,borrowed from English,no,no,maybe,yes,no,no,insufficient data,_,_,Oceanic,_,quinary,Austronesian,yes,Papua New Guinea,Madang,"barlowpacific, numerals",2,_
Marind,nucl1622,mrz,-8.15651,140.009,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2, 5 = 2 + 2 + 1; or 5 = all side hand",2 + 2 + 1 or side hand or all side hand,hand finish or finish hand,all side foot,foot finish or hand finish foot finish,unknown,yes,no,no,yes,no,no,insufficient data,_,yes,Anim,_,binary,Papuan,yes,Indonesia,Papua Province,"barlowpacific (2x), numerals (2x)",4,_
Maring,mari1435,mbw,-5.44015,144.642,binary,binary proper,"3 = 2 + x, 4 = 2 + 2; 5 contains hand; quinary starting at 5",hand side,hand side side all,hand side side all foot x side,foot hand hand these all side 2 1 or foot hand hand these all,unknown,yes,no,no,yes,no,no,insufficient data,_,yes,Chimbu-Wahgi,_,binary,Papuan,yes,Papua New Guinea,Western Highlands,barlowpacific (3x),3,_
Mariri,mari1430,mqi,-6.15097,134.88107,decimal,decimal modified,"(senary) addition for 7 (6 + 1), multiplication for 8 (4 ⋅ 2); 10, 100, 1000 distinct",5,10 (innovative?),unknown,unknown,unknown,no,no,no,no,maybe,yes,insufficient data,_,_,Central Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,Maluku,numerals,1,_
Marori,moro1289,mok,-8.5692,140.688,unknown,unknown,no data past 3,unknown,unknown,unknown,unknown,unknown,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,_,_,Marori,_,_,Papuan,yes,Indonesia,Papua Province,barlowpacific,1,_
Marovo,maro1244,mvo,-8.37943,157.747,decimal,decimal proper,11 to 19 = 10 + n,5,10,10 + 5,20 (innovative?),4 ⋅ 10,no,no,no,no,no,yes,maybe,_,_,Oceanic,_,quinary,Austronesian,no,Solomon Islands,Western (Solomons),"abvd, numerals (2x)",3,_
Marshallese,mars1254,mah,8.72,167.73,decimal,decimal modified,"doubling for 6 (3 + 3 ?), multiplication for 8 (2 ⋅ 4 ?); 11 to 19 = 10 + n",5,1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Marshall Islands,Marshall Islands,"abvd (2x), numerals",3,rata1243
Masadiit Itneg,masa1307,tis,17.4501,120.829,decimal,decimal proper,20 = 2 ⋅ 10,5,1 ⋅ 10,unknown,2 ⋅ 10,unknown,no,no,no,no,no,yes,insufficient data,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Cordillera,barlowpacific (4x),4,_
Masbate Sorsogon,masb1237,bks,12.8438,124.002,decimal,decimal proper,"10, 100, 1000 distinct",5,1 ⋅ 10,unknown,borrowed from Spanish,unknown,no,no,no,no,no,yes,insufficient data,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Bicol,barlowpacific,1,_
Masbatenyo,masb1238,msb,12.21453,123.63579,decimal,decimal proper,"10, 100, 1000 distinct",5,10,borrowed from Spanish,borrowed from Spanish,borrowed from Spanish,no,no,no,no,no,yes,insufficient data,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Bicol,"abvd, numerals",2,_
Masikoro Malagasy,masi1268,msh,-22.5582,43.8156,decimal,decimal proper,11 = 10 + 1; 20 = 2 ⋅ 10,5,10,unknown,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Madagascar,Madagascar,barlowpacific,1,_
Masimasi,masi1265,ism,-2.00717,139.04,binary,binary+3,4 = 2 + 2; or preserved Austronesian 4 in one dialect?; quinary starting at 5,hand ; 5 or hand x ; 5 x,1 ⋅ 10,unknown,unknown,unknown,yes,no,no,yes,no,maybe,insufficient data,_,_,Oceanic,_,quinary,Austronesian,yes,Indonesia,Papua Province,"barlowpacific, numerals",2,_
Masiwang,masi1266,bnf,-3.29547,130.601,decimal,decimal proper,11 to 19 = 10 + n,5,10 ⋅ 1,[10 ⋅ 1] + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,no,no,yes,no,_,_,Central Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,Maluku,"abvd (2x), barlowpacific, lexirumah, numerals",5,_
Maskelynes,mask1242,klv,-16.5073,167.818,quinary,quinary,6 to 9 = x + n,5,1 ⋅ 10,1 ⋅ 10 + 5,1 ⋅ 10 ⋅ 2,2 ⋅ 5 ⋅ 4,no,no,no,yes,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Vanuatu,Malakula,"abvd (6x), numerals",7,_
Massep,mass1263,mvs,-1.74679,138.294,unknown,unknown,no data past 2,unknown,unknown,unknown,unknown,unknown,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,_,_,Massep,_,_,Papuan,yes,Indonesia,Papua Province,barlowpacific,1,_
Matbat,matb1237,xmt,-1.8801,130.075,decimal,decimal proper,11 to 19 = 10 + n,5,10 (innovative?),10 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,no,no,yes,no,_,_,South Halmahera-West New Guinea,_,decimal,Austronesian,no,Indonesia,West Papua Province,"abvd, barlowpacific, numerals",3,_
Matepi,mate1260,mqe,-5.13857,145.617,quinary,quinary,"simplex 6 and 9; 7 = x + 2, 8 = x + 3",thumb (?),10 (?),unknown,unknown,unknown,no,no,no,yes,no,maybe,insufficient data,_,_,Madang,_,binary,Papuan,yes,Papua New Guinea,Madang,barlowpacific (2x),2,_
Mateq,kemb1249,xem,0.66181,110.468,decimal,decimal modified,subtraction for 9 ?; 12 = 10 + 2; 12 = 10 + 2,5,1 ⋅ 10 (innovative?),unknown,2 ⋅ 10,unknown,no,no,no,no,no,yes,insufficient data,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,West Kalimantan,barlowpacific,1,_
Matigsalug Manobo,mati1250,mbt,7.72124,125.16,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Davao,"abvd, numerals",2,_
Mato,mato1252,met,-5.91639,146.859,binary,binary+3,"4 = 2 + 2; or, binary proper (3 = 2 + x); 5 = 2 + 2 + x; also ternary elements attested (6 = 3 + 3, 7 = 3 + 3 + 1)",2 + 2 + x or x,hand 2 or half half finished or hand half half (?) or half half (?),unknown,man leg y hand z,unknown,yes,maybe,no,yes,no,insufficient data,maybe,_,_,Oceanic,_,quinary,Austronesian,yes,Papua New Guinea,Morobe,"abvd (2x), barlowpacific (4x), numerals",7,nana1258
Matukar,matu1261,mjk,-4.9078,145.779,binary,binary+3,4 = 2 + 2; 5 = hand one; quinary starting at 5,hand or 5 (?),hand 2,hand 3 or hand 2 x leg,hand 2 + 2 or foot hand or leg 2 or hand 2 x leg 2 x,unknown,yes,no,no,yes,no,no,insufficient data,_,_,Oceanic,_,quinary,Austronesian,yes,Papua New Guinea,Madang,"abvd, barlowpacific, numerals (2x)",4,_
Mauwake,mauw1238,mhl,-4.52416,145.394,quinary,quinary,binary element? (4 may derive from 2 ⋅ x); 5 contains hand; 6 to 9 = x + n,hand x or 5 (?),hand y y or 10 ⋅ 1,unknown,unknown,unknown,maybe,no,no,yes,no,maybe,insufficient data,_,yes,Madang,_,binary,Papuan,yes,Papua New Guinea,Madang,"barlowpacific (3x), numerals",4,_
Mawak,mawa1266,mjj,-4.61817,145.283,unknown,unknown,no data past 2,unknown,unknown,unknown,unknown,unknown,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,_,_,Madang,_,binary,Papuan,yes,Papua New Guinea,Madang,barlowpacific,1,_
Mawan,mawa1267,mcz,-5.2219,145.589,unknown,unknown,no data past 2,unknown,unknown,unknown,unknown,unknown,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,_,_,Madang,_,binary,Papuan,yes,Papua New Guinea,Madang,barlowpacific,1,_
Mawes,mawe1251,mgk,-2.36944,139.752,quinary,quinary,binary? (4 could possibly be from x + 2); 6 to 9 = 5 + n,5 (?),5 + 5,unknown,20 ⋅ 1,20 ⋅ 2,maybe,no,no,yes,no,no,yes,_,_,Mawes,_,quinary,Papuan,yes,Indonesia,Papua Province,"barlowpacific, numerals",2,_
Maybrat-Karon,maib1239,ayz,-1.3679,132.591,quinary,quinary,"6 to 9 = x + n (x = finger); variation in formation of 5, 6, 7",5 (?),10 (?) or x hand (?),10 + 5,man 1 dead,man 2 dead,no,no,no,yes,no,maybe,yes,_,yes,Maybrat-Karon,_,quinary,Papuan,yes,Indonesia,West Papua Province,"abvd, barlowpacific (2x), lexirumah, numerals",5,_
Mayoyao Ifugao,mayo1262,ifu,16.9984,121.29,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10,1 ⋅ 10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Philippines,Cordillera,numerals,1,_
Mblafe-Ránmo,blaf1238,bfh,-8.56161,141.226,senary,senary,7 = 6 + 1; 12 = 2 ⋅ 6; 18 = 3 ⋅ 6,5 (?),unknown,unknown,unknown,unknown,no,no,no,no,yes,no,insufficient data,_,_,Yam,_,binary,Papuan,yes,Papua New Guinea,Western (PNG),"barlowpacific, numerals",2,_
Mbula,mbul1263,mna,-5.66965,148.041,quinary,quinary,6 to 9 = 5 + n,5 ⋅ 1,5 ⋅ 2,5 ⋅ 2 + 5,man 1,man 2,no,no,no,yes,no,no,yes,_,_,Oceanic,_,quinary,Austronesian,no,Papua New Guinea,Morobe,"abvd, barlowpacific (3x), numerals",5,_
Meakambut,meak1234,_,-4.833,143.783,unknown,unknown,body tally (5 = thumb),thumb,collarbone,ear,wrist (?),unknown,no,no,no,no,no,no,insufficient data,yes,_,Arafundi,_,binary,Papuan,yes,Papua New Guinea,East Sepik,barlowpacific,1,_
Medebur,mede1237,mjm,-4.49918,145.425,quinary,quinary,10 = 5 ⋅ [2],5,5 x or hand 1 (?),unknown,unknown,unknown,no,no,no,yes,no,no,insufficient data,_,_,Oceanic,_,quinary,Austronesian,yes,Papua New Guinea,Madang,"barlowpacific (3x), numerals",4,_
Mehek,mehe1243,nux,-3.70927,142.498,binary,binary proper,"3 = 2 + x, 4 = 2 + 2; 5 contains arm",x arm or x arm y,x arm x arm or x arm y x arm y,unknown,unknown,unknown,yes,no,no,yes,no,insufficient data,insufficient data,_,yes,Sepik,_,binary,Papuan,yes,Papua New Guinea,Sandaun,"barlowpacific (2x), numerals",3,_
Mekeo,meke1243,mek,-8.23853,146.586,quinary,quinary,6 to 9 = 5 + n,5,"10 (< be absent, lost?)",10 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,yes,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,yes,Papua New Guinea,Central (PNG),"abvd (3x), barlowpacific, numerals (2x)",6,"east2455, nort2851"
Mekmek,mekm1240,mvk,-4.47017,143.75,quinary,quinary,5 contains hand; 6 to 9 = x + n,hand x,hand 2,unknown,hand 2 leg 2,unknown,no,no,no,yes,no,no,insufficient data,_,yes,Yuat,_,quinary,Papuan,yes,Papua New Guinea,East Sepik,barlowpacific,1,_
Mekwei,mekw1241,msf,-2.52264,140.326,quinary,quinary,5 contains hand?; 6 to 9 = 5 + n,hand side (?),hand 2 (?),unknown,hand 2 foot 2 (?) or person 1,unknown,no,no,no,yes,no,no,maybe,_,yes,Nimboranic,_,binary,Papuan,yes,Indonesia,Papua Province,barlowpacific (2x),2,_
Mele-Fila,mele1250,mxe,-17.6841,168.275,decimal,decimal proper,11 to 19 = 10 + n,5,10,1 ⋅ 10 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,no,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Vanuatu,Efate,"abvd (3x), numerals",4,"fila1237, mele1251"
Melpa,melp1238,med,-5.62644,144.34,quaternary,quaternary,8 distinct; 3 may derive from 2 + 1 (binary element?),thumb apart,both thumbs plug,8 + 2 + 4 + 1,hand 2,hand 4,maybe,no,yes,yes,no,yes,no,_,yes,Chimbu-Wahgi,_,binary,Papuan,yes,Papua New Guinea,Western Highlands,barlowpacific (2x),2,_
Mendalam Kayan,mend1267,xkd,0.98794,113.286,unknown,unknown,no data,unknown,unknown,unknown,unknown,unknown,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,West Kalimantan,_,0,_
Mende (Papua New Guinea),mend1268,sim,-3.67233,142.683,quinary,quinary,5 contains arm; 6 to 9 = 5 + n,this arm,arm and this arm or this arm part arm,this arm part arm this leg (?),this arm part arm this leg part leg (?),unknown,no,no,no,yes,no,no,insufficient data,_,yes,Sepik,_,binary,Papuan,yes,Papua New Guinea,East Sepik,"barlowpacific, numerals",2,_
Mengen,meng1267,mee,-5.47036,151.373,quinary,quinary,6 to 9 = 5 + n,5,1 ⋅ 10,1 ⋅ 10 + 5,1 ⋅ 10 ⋅ 2 or person 1 (?) ; person leg (?),person leg 2,no,no,no,yes,no,yes,yes,_,_,Oceanic,_,quinary,Austronesian,no,Papua New Guinea,East New Britain,"abvd, barlowpacific (3x), numerals (2x)",6,_
Mentawai,ment1249,mwv,-1.41092,98.9401,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10 or 10,10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,West Sumatra,"abvd (15x), barlowpacific (2x), numerals",18,_
Menterap,ment1251,_,-0.293181,110.670512,unknown,unknown,no data,unknown,unknown,unknown,unknown,unknown,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,insufficient data,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,West Kalimantan,_,0,_
Menya,meny1245,mcr,-7.17425,146.071,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2, 5 = 2 + 2 + 1; or 5 = hand 1; quinary starting at 5",2 + 2 + 1 or hand 1,2 + 2 + 2 + 2 + 2 or hand all,2 + 2 + 2 + 2 + 2 + 2 + 2 + 1 or hand 2 foot 2,hand leg all or hand 2 foot 2,unknown,yes,no,no,maybe,no,no,insufficient data,_,yes,Angan,_,binary,Papuan,yes,Papua New Guinea,Morobe,"barlowpacific (3x), numerals",4,_
Meoswar,meos1237,mvx,-2.07828,134.378,decimal,decimal proper,11 to 19 = 10 + n,5,1 ⋅ 10,1 ⋅ 10 + 5,20 (innovative?) or 20 ⋅ 1 (innovative?),20 ⋅ 2 (innovative?),no,no,no,no,no,yes,yes,_,_,South Halmahera-West New Guinea,_,decimal,Austronesian,no,Indonesia,West Papua Province,"barlowpacific, numerals (2x)",3,_
Mer,merr1239,mnu,-3.3828,134.731,quinary,quinary,5 contains hand?; 6 to 9 = 5 + n,this hand (?),10 ⋅ 1 (?),unknown,unknown,unknown,no,no,no,yes,no,maybe,insufficient data,_,yes,Mairasic,_,quinary,Papuan,yes,Indonesia,Papua Province,numerals,1,_
Meramera,mera1242,mxm,-4.97468,151.528,quinary,quinary,"6 to 8 = x + n; simplex 9 (historically from sequential number word formation, i.e., < PAN 8, 9)",5,1 ⋅ 10 or 1 ⋅ 10 ⋅ 1,1 ⋅ 10 ⋅ 1 + 5,1 ⋅ 10 ⋅ 2,1 ⋅ 10 ⋅ 4,no,no,no,yes,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Papua New Guinea,West New Britain,"abvd, barlowpacific, numerals",3,_
Merei,mere1242,lmb,-15.2839,166.905,quinary,quinary,"6 = 5 + x, 7 to 9 = x + n",5,1 ⋅ 10,1 ⋅ 10 + 5,10 ⋅ 2,10 ⋅ 4,no,no,no,yes,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Vanuatu,Santo,"abvd (2x), numerals",3,_
Meriam,meri1244,ulk,-9.59575,143.773,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2; also body tally (5 = thumb)",thumb,shoulder or clavicle (?),chest,armpit or wrist (?),unknown,yes,no,no,no,no,no,insufficient data,yes,_,Eastern Trans-Fly,_,binary,Papuan,no,Australia,Torres Strait,"barlowpacific, numerals",2,_
Merlav,merl1237,mrm,-14.450679,168.053527,quinary,quinary,6 to 9 = 5 + n,1 ⋅ 5,1 ⋅ 10,1 ⋅ 10 + 5,1 ⋅ 10 ⋅ 2,1 ⋅ 10 ⋅ 4,no,no,no,yes,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Vanuatu,Banks Islands,"abvd (3x), numerals",4,mwer1250
Mese,mese1244,mci,-6.56072,147.137,quinary,quinary,5 = hand half; 6 = 5 + 1;,hand half,hand finished (?),unknown,man 1,unknown,no,no,no,yes,no,no,maybe,_,yes,Finisterre-Huon,_,binary,Papuan,yes,Papua New Guinea,Morobe,barlowpacific,1,_
Meyah,meya1236,mej,-1.18016,133.618,quinary,quinary,6 to 9 = 5 + n,5 (?),10 (?),10 + toe side at 5 (?),person or person 1 or 10 ⋅ 2,unknown,no,no,no,yes,no,yes,maybe,_,_,East Bird's Head,_,quinary,Papuan,yes,Indonesia,West Papua Province,"barlowpacific, lexirumah, numerals",3,_
Mian,mian1256,mpt,-4.70881,141.523,binary,binary proper,"3 = 2 + x, 4 = 2 + 2, 5 = 2 + 2 + x, 6 = 2 + 2 + 2; body tally starting at 7 ?",2 + 2 + x,shoulder,eye,elbow,unknown,yes,no,no,no,no,no,insufficient data,yes,_,Asmat-Awyu-Ok,_,binary,Papuan,yes,Papua New Guinea,Sandaun,numerals,1,_
Miani,mian1254,pla,-4.42116,145.276,quinary,quinary,6 to 9 = x + n,5 (?),10 (?),x + 5,man 1,unknown,no,no,no,yes,no,maybe,maybe,_,_,Madang,_,binary,Papuan,yes,Papua New Guinea,Madang,barlowpacific (2x),2,_
Mid Grand Valley Dani,midg1235,dnt,-4.06322,138.945,binary,binary+3,4 = 2 + 2; or distinct 4 ?; 5 = thumb,thumb or 5 (?),fingers,unknown,unknown,unknown,yes,no,no,insufficient data,no,insufficient data,insufficient data,_,yes,Dani,_,binary,Papuan,yes,Indonesia,Papua Province,barlowpacific,1,_
Middle Watut,midd1327,mpl,-6.88249,146.399126,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2, 5 = 2 + 2 + 1; or 5 contains hand",2 + 2 + 1 or hand half,x hand 2,unknown,unknown,unknown,yes,no,no,maybe,no,insufficient data,insufficient data,_,_,Oceanic,_,quinary,Austronesian,yes,Papua New Guinea,Morobe,"barlowpacific, numerals",2,_
Migabac,miga1241,mpp,-6.33237,147.713,binary,binary+3,4 = 2 + 2; 5 contains hand; doubling for 6 (3 + 3),hand 1,hand 2,hand 3 or hand 2 leg 1,man 1 or man 1 whole or foot hand or hand 2 + 2,man 2,yes,no,no,yes,no,no,yes,_,yes,Finisterre-Huon,_,binary,Papuan,yes,Papua New Guinea,Morobe,"barlowpacific (2x), numerals",3,_
Minangkabau,mina1268,min,-0.896,100.44,decimal,decimal modified,"subtraction for 8, 9; 11 to 19 = n + x",5,1 ⋅ 10,5 + x,2 ⋅ 10,4 ⋅ 10,no,no,no,no,no,yes,no,_,_,Western Malayo-Polynesian,_,decimal,Austronesian,no,Indonesia,West Sumatra,"abvd, barlowpacific (5x), googleuninum, numerals",8,_
Minanibai-Foia Foia,mina1274,mcv,-7.61717,144.011,unknown,unknown,5 contains arm; 6 to 9 look possibly quinary; 9 may be subtractive from 10,arm (?),10 (?),unknown,10 (?),unknown,no,no,no,maybe,no,maybe,insufficient data,_,yes,Anim,_,binary,Papuan,yes,Papua New Guinea,Gulf,barlowpacific,1,_
Minaveha,mina1269,mvn,-9.59922,150.501,quinary,quinary,6 to 9 = 5 + n,hand side x (?),hand side 2 (?),hand side 2 hand side x (?),man 1,man 2,no,no,no,yes,no,no,yes,_,_,Oceanic,_,quinary,Austronesian,no,Papua New Guinea,Milne Bay,"abvd, numerals",2,_
Mindiri,mind1255,mpn,-5.5,146.15,quinary,quinary,6 to 9 = 5 + n,5 ⋅ 1 (innovative?),5 ⋅ 2 (innovative?) or 5 ⋅ 1 + 4 + 2 (?),unknown,unknown,unknown,no,no,no,yes,no,no,insufficient data,_,_,Oceanic,_,quinary,Austronesian,yes,Papua New Guinea,Madang,"abvd, numerals",2,_
Minidien,mini1253,wii,-3.59408,142.33,binary,binary proper,"3 = 2 + 1, 4 = 2 + 2 (but form of 2 alone is different); 5 contains arm; or equals big finger (i.e., thumb?)",arm or thumb,arm arm,arm arm leg,arm arm leg leg,unknown,yes,no,no,insufficient data,no,no,insufficient data,_,yes,Nuclear Torricelli,_,binary,Papuan,yes,Papua New Guinea,Sandaun,barlowpacific (2x),2,_
Minigir,mini1251,vmg,-4.31803,152.005,quinary,quinary,6 to 9 = x + n,5,10,10 + 5,2 ⋅ 10,4 ⋅ 10,no,no,no,yes,no,yes,no,_,_,Oceanic,_,quinary,Austronesian,no,Papua New Guinea,East New Britain,"abvd, numerals",2,_
